r,phi[0],phi[1],
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.5,89.1,
nan,5.49999,89.0998,
nan,5.49996,89.0988,
nan,5.49979,89.094,
nan,5.49898,89.0701,
nan,5.49496,88.9522,
nan,5.47519,88.3727,
nan,5.38096,85.6103,
nan,4.98946,74.1328,
nan,3.98037,44.55,
nan,2.97127,14.9672,
nan,2.57977,3.48967,
nan,2.48554,0.727285,
nan,2.46577,0.147799,
nan,2.46175,0.0298797,
nan,2.46094,0.00603422,
nan,2.46077,0.00121835,
nan,2.46074,0.000245984,
nan,2.46073,4.96635e-05,
nan,2.46073,1.00269e-05,
nan,2.46073,2.02439e-06,
nan,2.46073,4.08718e-07,
nan,2.46073,8.25187e-08,
nan,2.46073,1.66602e-08,
nan,2.46073,3.36365e-09,
nan,2.46073,6.79108e-10,
nan,2.46073,1.37106e-10,
nan,2.46073,2.76827e-11,
nan,2.46073,5.58487e-12,
nan,2.46073,1.12266e-12,
nan,2.46073,2.27374e-13,
nan,2.46073,4.26326e-14,
nan,2.46073,1.42109e-14,
